title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
가리왕산케이블카,3068424,인문(문화/예술/역사),체험관광지,이색체험,,강원특별자치도,128.6097538017,37.4742535268,"가리왕산 케이블카는 대한민국 100대 명산에 속하고 2018 평창동계올림픽 경기를 성공적으로 치렀던 가리왕산에 위치하고 있다. 올림픽 종료 후에도 많은 시민들이 가리왕산을 즐길 수 있도록 새롭게 단장하였다. 케이블카 상부에  2,400㎡의 생태탐방 데크로드를 비롯하여 농산품 무인판매점(기프트샵), VR체험관, DID 영상관, 고객쉼터, 카페 일오육일, 달빛 포토존 등 512.5㎡의 여러 편의시설이 설치되어 있다. 남녀노소 및 장애인 등 이동약자들이 불편함 없이 쉽게 접근 가능하다. 케이블카는 기상 상황 등 안전상 이유로 사전에 공지 없이 조기 운행마감 또는 휴장 될 수 있으므로 사전 확인 후 방문하는 것이 좋다.","<a href=""http://gariwangsancablecar.com/index.html"" target=""_blank"" title=""가리왕산케이블카 사이트로 이동"">http://gariwangsancablecar.com/</a>"
가림상회,2820640,인문(문화/예술/역사),체험관광지,이색체험,http://tong.visitkorea.or.kr/cms/resource/19/3305119_image2_1.jpg,충청남도,126.8928691464,36.1899003585,"가림상회는 관광두레 주민사업체로 선정되고 3년이 지난 2023년 7월에 정식 오픈을 했다. 가림상회를 운영하는 만세장터영농조합법인은 60세 이상 여성으로 구성된 만세장터 봉사회가 그 전신이다. 가림상회에서는 슈페너, 스프레드 브레드 등을 판매하고 있으며, 음료 주문 시 오란다도 함께 제공된다. 김밥, 밑반찬도 함께 판매중이다. 체험 프로그램 으로는 수제 하트 오란다 만들기(2인 이상), 수제 하트 영양바 만들기(2인 이상) 가 준비되어 있다.",
가림시골밥상,2832447,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/44/2832444_image2_1.jpg,경기도,126.6858608619,37.7906479225,"경기도 파주시 프로방스 마을 부근에 있는 한정식 전문점이다. 성동리 마을회관 앞에 있어서 찾기 쉽다. 메뉴는 석쇠 소불고기정식, 꽃게장 정식, 가림 시골밥상 세 가지가 있다. 여러 가지 반찬이 제공되고 리필도 가능하다. 내부가 넓고 테이블도 많기 때문에 쾌적하고 깔끔한 분위기에서 여유 있는 식사를 즐길 수 있다.  연중무휴 영업하므로 운영 시간에만 맞추어 가면 언제든지 식사할 수 있지만 점심시간엔 대기가 필요하다.  BTS도 다녀갈 만큼 맛으로 소문난 파주 한정식 전문점이다.",
가마골,2685271,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/54/2684754_image2_1.jpg,서울특별시,127.1427398175,37.5517283673,솥뚜껑 위에서 구워 먹는 삼겹살이 유명한 곳이다. 서울특별시 강동구에 있는 한식전문점이다. 대표메뉴는 삼겹살이다.,
가마골 소갈비찜,2893648,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/80/2893380_image2_1.jpg,경상남도,129.0416655122,35.35869144,"경상남도 양산시 북정택지 내에 위치한 가마골 소갈비찜은 물가 상승에도 불구하고 10여 년 동안 착한 가격 그대로 소갈비찜을 먹을 수 있는 식당이다. 이곳의 대표메뉴 중 하나인 소갈비찜은 각종 과일과 신선한 야채, 다시마, 직접 재배한 표고버섯, 벌꿀 등 천연 재료를 듬뿍 사용하여 야들야들하고 감칠맛이 난다. 소갈비를 다 먹은 후 남은 양념에 콩나물을 비벼 먹어도 맛있고, 밥을 볶아 먹어도 맛있다. 간장맛, 덜매운맛, 매운맛, 짱매운맛으로 매운맛 조절 가능하다. 또 다른 대표메뉴인 막국수는 강릉에서 3대를 거쳐 이어져온 전통방법을 그대로 계승받아 면을 손반죽하여 기계로 직접 뽑아 사용한다. 각종 야채, 과일, 해산물, 버섯 등을 듬뿍 넣고 육수를 만들기 때문에 국물맛이 시원하고 깔끔하다. 왕갈비탕은 엄선된 사골을 참나무 장작으로 가마솥에 푹 고아 각종 신선한 천연 재료들을 듬뿍 넣고 밤새 우려낸 전통의 맛이다. 특히 갈비탕에 들어가는 갈비는 미리 간을 하여 숙성시킨 다음 이곳만의 비법인 각종 재료를 첨가하여 삶기 때문에 잡내가 전혀 나지 않으며, 부드럽고 담백하다.",
가마골계곡,127423,자연,자연관광지,계곡,http://tong.visitkorea.or.kr/cms/resource/35/3027135_image2_1.jpg,전라남도,127.0227046757,35.445187367,"'담양군 용면 용연리에 소재한 용추봉(523m)을 중심으로 사방 4km에 걸쳐 형성되어 있는 계곡이다. 그다지 산이 높다고는 할 수 없으나 총 311,000㎡의 넓은 규모에 울창한 숲 사이의 계곡과 맑은 물, 기암괴석이 수려한 경관을 이루고 있다. 입구에서부터 계곡을 따라 올라가면 크고 작은 폭포와 연못이 곳곳에 있어 걸음을 멈추게 한다. 수림도 잘 형성되어 풍부한 그늘을 만들고 있으며 중간중간 쉬기 좋은 쉼터가 잘 조성되어 있다. 
계곡의 도로를 따라 안쪽으로 더 깊이 들어가면 입장료를 내고 들어가는 가마골 생태공원이 나온다. 가마골 생태정원은 계곡 입수가 불가하지만, 하류쪽 가마골 계곡은 물놀이가 가능하다. 자연미는 덜하지만 길이 잘 닦여있고, 계곡 주변으로 캠핑장, 펜션, 식당 등이 위치해있어 야영과 물놀이와 함께 숙식이 가능하다. 
가마골 계곡이 합류하는 담양호가 인접해 있으며, 차량 이동 20분, 약 16km 지점에 담양리조트, 차량 이동 24분 거리에 담양읍이 있다.",
가마골백숙,2525533,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,경기도,126.971289723,37.7135870113,"※ 영업시간 11:00 ~ 22:00

[깊은 맛의 닭, 오리백숙과 삼계탕을 제공하는 건강보양 브랜드]
가마골백숙은 다양한 종류의 닭백숙과 오리백숙 전문 브랜드로 구수한 맛의 누룽지 백숙과 황제 삼계탕을 대표 메뉴로 판매하고 있다. 건물 앞과 뒷면에 30대 이상의 차량을 주차할 수 있는 넓은 공간을 보유하고 있으며, 다양한 룸에서 각종 행사나 모임을 진행할 수도 있다. 건물 2층은 고객만을 위한 공간으로 다양한 커피 메뉴와 함께 휴식을 취할 수 있도록 오픈되어 있다. 매장의 모든 메뉴는 포장이 가능하며, 일부 능이오리백숙 같은 일부 메뉴의 경우 사전에 예약이 필요하다.","<a href=""http://www.gamagoll.com/"" target=""_blank"" title=""새창: 가마골백숙 홈페이지로 이동"">http://www.gamagoll.com/</a>"
가마골쉼터,2828299,음식,음식점,한식,,충청북도,128.4302036157,36.9939165292,"가마골쉼터는 향토음식 경연 대회에서 은상을 수상 받고 향토음식 지정 업소로 인정받은 맛집이다. 식객 허영만의 백반 기행에도 나왔다고 하니 맛은 보장이다. 가마골쉼터는 상호에서 풍기는 인상처럼 단양에서도 굽이굽이 산으로 들어가다 보면 있는 시골집 풍경의 식당이다. 내부는 깔끔하고 정겨우며 널찍하다. 메뉴는 들깨옹심이, 들깨콩국수, 감자전, 닭볶음탕 등이 있고 주문과 동시에 조리가 시작되어 다소 시간이 걸릴 수 있다. 단양에서 재배된 감자와 들깨를 사용하고 가마골에서 자란 쑥으로 반죽한 쫄깃한 면발을 사용하고 있다. 들깨의 고소함과 쫄깃한 옹심이 그리고 쑥 향이 은은한 칼국수가 일품이다.","<a href=""https://www.instagram.com/danyang_gamagol/"" target=""_blank"" title=""새창 : 가마골쉼터 인스타그램으로 이동"">https://www.instagram.com/danyang_gamagol/</a>"
가마등,2893649,음식,음식점,카페/전통찻집,http://tong.visitkorea.or.kr/cms/resource/83/2893383_image2_1.jpg,경상남도,128.941104986,35.3534873866,"양산 원동면에 있는 카페 가마등은 자연 그대로의 풍경과 잘 어우러진 야외 테라스로 유명하다. 카페에서 내려다보이는 숲속 작은 마을과 강은 한 폭의 그림 같다. 깔끔하고 예쁜 주방에서 직접 만드는 베이커리와 수제청 음료들이 다양하다. 차를 마시며 편안하게 이야기 나누기 좋은 좌식으로 되어 있는 공간도 있어 인기가 좋다. 반려견 동반은 야외 테라스에서만 가능하고 전용 주차장이 있어 편리하게 이용할 수 있다. 석산 근린공원이 인접해 있어 함께 둘러보기 좋다.
※ 반려동물 동반 가능",
가마로강정 신길삼거리,2682774,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/38/2682638_image2_1.jpg,서울특별시,126.9172780766,37.5142453371,다양한 종류의 소스를 선택 할 수 있다. 대표메뉴는 닭강정이다. 서울특별시 영등포구에 있는 한식전문점이다.,
