title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
명동예술극장,748186,인문(문화/예술/역사),문화시설,공연장,,서울특별시,126.9841872425,37.5639546487,"명동예술극장은 옛 ‘명동 국립극장’으로 쓰였던 건물을 복원하여 새롭게 탄생한 연극 전문 공연장이다. 
‘명동 국립극장’은 1934년부터 1973년까지 영화관, 공연장, 예술극장 등 한국문화예술의 선구자 역할을 해왔다. 비록 1975년에 사라졌지만 3년간의 복원공사를 마치고 ‘명동예술극장’이라는 이름으로 2009년 새롭게 문을 열었다. 새롭게 문을 연 명동예술극장은 외부 벽면은 옛 모습을 그대로 살려낸 반면, 내부는 전면 리모델링하여 최신 무대 시설을 갖춘 588석 규모의 중극장으로 탄생했다. 
관객과 무대 위 배우와의 눈높이를 최적화하고 객석과 무대 간의 거리가 가까워 배우들과 함께 호흡하는 기분으로 공연을 감상할 수 있다. 이곳에서는 정통연극, 실험극, 논버벌 퍼포먼스, 뮤지컬 뿐만 아니라 연기경연, 연극제, 공연예술제 등 다채로운 행사도 즐길 수 있다. 위치는 수도권 지하철 4호선 명동역 6번 출구에서 320m에 있다.","<a href=""https://www.ntck.or.kr/ko"" target=""_blank"" title=""새창 : 홈페이지로 이동"">https://www.ntck.or.kr/ko</a>"
명동의류,2914262,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/46/2887646_image2_1.jpg,제주특별자치도,126.5257170863,33.5133872087,-,
명동정,2643068,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/93/3108793_image2_1.JPG,서울특별시,126.9885952394,37.5616494398,한정식 메뉴를 제공하는 매장이다. 대표메뉴는 한정식이다. 서울특별시 명동에 있는 한식당이다.,
명동칼국수,134183,음식,음식점,한식,,경상북도,129.2163666512,35.8625157548,"경주시민운동장과 황성공원 인근에 위치한 명동칼국수는 평범한 칼국수 식당으로 보이지만 쫄깃한 식감의 면으로 지역 주민들에게 맛집으로 알려진 곳이다. 칼국수와 다양한 만두요리를 맛볼 수 있는데, 진한 멸치 육수로 맛을 낸 해물칼국수는 맛이 깊고 면발이 쫄깃하다.
경주시에서 인증받은 안심식당으로 덜어먹기 가능한 도구를 비치하고 있으며 위생적 수저관리와 종사자마스크 착용을 준수하고 있다.",
명동칼국수,2674652,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/34/2674434_image2_1.jpg,경기도,127.0756135854,37.0211191594,"이마트 평택점 푸드코트 내 위치한다. 대표메뉴는 칼국수, 떡만두국이며 특히 겉절이에 곁들여 먹으면 맛있다.",
명동한우방,2642960,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/88/2655188_image2_1.jpg,서울특별시,126.983962221,37.5654433607,한국식 BBQ 전문점이다. 대표메뉴는 안창살이다. 서울특별시 명동에 위치한 한식당이다.,
명동해물탕어머니집,2685228,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/08/2684708_image2_1.jpg,서울특별시,126.985003856,37.5632103053,40년 전통의 해물탕 전문점이다. 대표메뉴는 해물탕이다. 서울특별시 중구에 있는 한식전문점이다.,
명락사,2761662,인문(문화/예술/역사),역사관광지,사찰,http://tong.visitkorea.or.kr/cms/resource/83/2790183_image2_1.jpg,서울특별시,126.9470207355,37.4814635656,"서울 관악구 청룡동에 있는 명락사는 관악산 줄기의 끝자락 도심 상업지역에 있다. 40여 년 넘게 서울 서남권의 포교 활동과 다문화가정을 위한 포교에 관심을 기울이고 있는 사찰이다. 청년회가 활성화되어 있으며, 토요일 저녁 8시 30분부터 정기 법회를 갖는다. 2호선 봉천역과 서울대입구역 중간지점에 있다.",
명란브랜드연구소,2807379,음식,음식점,카페/전통찻집,http://tong.visitkorea.or.kr/cms/resource/85/2823385_image2_1.jpg,부산광역시,129.0349977245,35.1171184012,명란브랜드연구소는 동구청에서 명란을 알리기 위해 지은 카페 겸 연구소이다. 명란을 재료로 한 다양한 메뉴를 판매하고 카페에서 부산 전경을 내려다볼 수 있다. 건물의 1층을 제외한 모든 곳이 공익 목적으로 이용되어 부산의 데이트 코스 가족여행 코스로 추천한다.,
명랑스낵,2858577,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/64/2858564_image2_1.jpg,제주특별자치도,126.2587593151,33.4092250708,"명랑스낵은 한림항 근처에 있다. 생방송오늘저녁에 소개된 분식집으로 바다를 보며 떡볶이, 튀김을 먹는 오션뷰 분식집이다. 이곳은 쫄깃한 밀가루 떡볶이를 기본으로 하며 대표 메뉴인 짜장떡볶이에는 당면 사리를 추가할 수 있다. 한치튀김이나 흑돼지튀김은 제주에서만 맛볼 수 있는 재료로 찾는 손님이 많고, 반려동물 동반 가능, 포장 손님도 많다. 근처 여행지로 비양도 가는 한림항, 협재해수욕장, 금능해수욕장 등이 있다.
※ 반려동물 동반 가능","<a href=""https://www.instagram.com/cheerful_snack/""target=""_blank"" title=""새창 : 명랑스낵 사이트로 이동"">https://www.instagram.com/cheerful_snack/</a>"
명랑식당,2580884,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/80/3034880_image2_1.JPG,대전광역시,127.428853402,36.3355097762,"명랑식당은 30년 이상의 전통을 자랑하는 정통 궁중 육개장 전문점이다. 본래 육개장은 대파와 소고기를 주재료로 하여 조선 후기부터 먹기 시작했는데, 고기가 귀하던 시절에는 서민들은 고기의 양을 줄이고 토란대, 고구마줄기, 숙주 등을 넣어 고기의 양을 줄여 먹던 육개장이 현재 대중적인 육개장이 됐다. 이 음식점은 메뉴를 육개장만 취급하고 있으며, 단일 메뉴가 돋보이는 국물이 진한 육개장 맛집으로 알려져 있다. 하나의 메뉴에만 집중하여 육개장의 전통을 살리고 있어 이를 인정받아 중소벤처기업부 인증 백년가게로 선정되었다.
명랑식당은 국도 17호선 대전로, 태전로, 선화로를 통해 접근할 수 있으며, 고속도로는 경부고속도로 대전IC와 통영대전고속도로 판암IC가 가깝다. 대중교통은 경부고속철도 및 경부선 철도, 대전도시철도 1호선 대전역을 이용할 수 있다. 주변에는 대전중앙시장, 역전시장, 인쇄거리 등이 있다.","<a href=""http://www.myongrang.com"" target=""_blank"" title=""새창: 명랑식당 홈페이지로 이동"">http://www.myongrang.com</a>"
명량대첩축제,607417,인문(문화/예술/역사),축제,일반축제,http://tong.visitkorea.or.kr/cms/resource/84/3336384_image2_1.jpg,전라남도,126.3009872225,34.5707545496,"명량대첩축제는 삼도수군통제사로 재임명된 이순신 장군의 조선수군과 전라도 어민이 1597년 9월 16일 울돌목에서 일본 수군을 물리친 세계사에서 유례없는 명량해전을 기념하는 호국 역사문화축제이다.
전라남도, 진도군, 해남군이 함께 2008년부터 16회째 개최하는 이번 축제는 ICT 융복합 기술을 활용한 멀티 미디어해전과, 해군 군악의장대, 공군에어쇼, 지역공연 등 다양한 프로그램과 경관조명 등 볼거리로 관광객들의 이목을 끌 예정이다.","<a href=""http://www.mldc.kr/web/"" target=""_blank"" title=""새창:명량대첩축제 홈페이지로 이동"">http://www.mldc.kr</a>"
명량대첩해전사 기념전시관,2708333,인문(문화/예술/역사),문화시설,전시관,,전라남도,126.3108224049,34.5733544172,"명량대첩 해전사 기념 전시관은 해남 우수영 관광지에 자리 잡고 있으며 명량대첩에 대해 알리고 승리를 기념하기 위해 건립한 곳이다. 명량대첩 현장인 울돌목을, 역사의 산 교육장이자 호국을 주제로 한 관광지로 운영하기 위하여 우수영 관광지 내에 지하 1층 지상 3층 규모로 조성하였다. 명량대첩 해전 전시관의 건물 외형은 판옥선을 본뜬 건물이다. 전시 공간은 크게 진입부인 웰컴존과 상설전시실, 기획전시실, 영상실, 옥외공간으로 나누어지며 1층, 3층, 2층, 1층 순서로 관람한다.
1층에는 난중일기의 명량해전 역사 속으로 들어가는 웰컴존과 4D 입체영상관, 울둘목 영상실과 쉼터 등이 있으며 3층에는 세계의 해전사와 역사에 기록된 명량대첩, 시대별 배 등이 전시되어 있고 2층에는 노 젓기 체험과 그 당시 사용했던 무기류 등을 볼 수 있다. 건물 전시 공간 내부의 콘텐츠는 옛 역사를 구현하는 방식으로 설정했으며 건물 형태의 가장 중요한 것은 현장성을 느껴 볼 수 있도록 연출 구성했다. 특히 외부공간에서도 현장을 볼 수 있도록 3층 전망시설을 갖추어 울돌목의 지리 지형을 관람할 수 있도록 설계되어 있다. 아이들에게도 흥미로운 우리의 역사 이야기를 잘 살펴볼 수 있는 유익한 공간이다.","<a href=""http://www.grandculture.net/haenam/toc/GC07300300"" target=""_blank"" title=""새창 : 홈페이지로 이동"">http://www.grandculture.net/haenam</a>"
명량해상케이블카,2774392,인문(문화/예술/역사),체험관광지,이색체험,http://tong.visitkorea.or.kr/cms/resource/77/2774377_image2_1.JPG,전라남도,126.3089614695,34.5728516656,국내 최초 역사의 현장에 개통한 명량해상케이블카는 이순신 장군이 왜군에 맞서 조선을 지켜낸 명량대첩 승전지 '울돌목' 해협 위 공중을 가로지르는 케이블카로 해남과 진도를 잇는 약 1km 구간을 운행한다. 하늘에서 신비로운 울돌목 회오리를 감상하며 명량대첩 그날의 벅찬 감동을 느낄 수 있을 뿐 아니라 다도해의 아름다운 낙조와 미려한 진도대교가 함께 빚어내는 환상적인 파노라마 뷰를 감상하며 힐링할 수 있다.,"<a href=""http://www.mrcablecar.com/""target=""_blank"" title=""새창 : 홈페이지로이동"">http://www.mrcablecar.com/</a>"
명량해협 울돌목,1624311,인문(문화/예술/역사),역사관광지,유적지/사적지,,전라남도,126.3053145953,34.5717433976,"울돌목은 이충무공의 3대 해전 중의 하나인 명량대첩지로 잘 알려진 서해의 길목으로, 해남과 진도 간의 좁은 해협을 이루며 바다의 폭은 한강 너비 정도의 294m 내외이다. 물길이 암초에 부딪혀 튕겨 나오는 소리가 매우 커 바다가 우는 것 같다고 하여 울돌목이라고도 불린다. 물살이 빠르고 거품물이 용솟음쳐 배가 운항하기 힘든 곳이다. 바다라기보다는 홍수진 강물로 보이며 물길이 소용돌이쳤다가 솟아오르면서 세차게 흘러내려 그 소리가 해협을 뒤흔든다. 이는 해협의 폭이 좁은 데다가 해구가 깊은 절벽을 이루고 있어 흐르는 물살이 이에 부딪쳤다가 솟아오르기 때문이다. 이런 지형적 환경을 이용하여 정유재란 당시 명량해전에서 이순신장군은 13척의 배를 가지고 130여 척으로 공격해 오는 왜군을 상대로 대승을 거두었다. 울돌목 해변가에는 데크길과 수변공원이 조성되어 있고 울돌목 스카이워크를 설치하여 바다 위를 걸으며 울돌목의 바닷물살과 소용돌이를 발밑으로 실감할 수 있다.",
명리동식당 애월점,2876722,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/15/2876715_image2_1.jpg,제주특별자치도,126.349586111,33.4723000742,"명리동식당애월점은 고내리 포구에 있다. 저지리에서 연탄불에 구워 먹는 자투리 고기로 유명해진 명리동식당이 애월읍에 낸 지점으로 흑돼지 자투리 고기, 삼겹살, 목살을 제공한다. 자투리고기는 고기를 부위별로 나누고 남는 다양한 부위를 의미한다. 김치 뚝배기와 전골 메뉴가 있으며 5시 이후 고기를 주문할 때 함께 주문할 수 있다. 주변 여행지로 고내포구, 애월항, 한담해안산책로, 고내봉 등이 있다.",
명문가,2697379,숙박,숙박시설,한옥,,전북특별자치도,127.1534696606,35.8132006219,"명문가는 전주 한옥마을 오목대 아래 위치해 있으며 전통한옥의 푸근함과 현대식 공간의 쾌적함을 조화롭게 느낄 수 있는 한옥집이다. 머무는 동안 불편하지 않도록 외풍과 소음을 보완하였으며 고급 침구류 및 Wi-Fi, 개별욕실 등을 구비하고 있다. 또한, 명문가는 전주 한옥마을의 명소인 오목대, 경기전, 전동성당, 풍남문 등과 근거리에 위치하여 전주의 볼거리를 보다 편리하게 만나볼 수 있다.","<a href=""http://myeongmunga.com/index.php?PClass=page&PGroup=01&PCode=0101""_blank"">http://myeongmunga.com/index.php?PClass=page&PGroup=01&PCode=0101</a>"
명문가시리식당,1891955,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/49/3403349_image2_1.jpg,제주특별자치도,126.7707744722,33.352842211,"명문가시리식당은 저렴한 가격에 부담 없이 식사가 가능한 곳이다. 돼지고기를 삶은 육수에 몸(모자반)이라는 바다의 해초, 메밀가루가 어우러진 몸국, 돼지 내장으로 만드는 토속순대, 흑돼지 등 다양한 메뉴를 제공하며, 비싼 흑돼지가 부담되는 경우 흑돼지와 무채, 파 등을 넣어 불판에 익혀먹는 두루치기를 저렴한 가격에 즐기는 것도 좋다. 보말미역국의 경우 해녀가 직접 채취한 보말을 사용하여 제공한다.",
명문막국수,2495458,음식,음식점,한식,,서울특별시,127.0048124503,37.5882966341,"‘명문막국수’는 여름철의 별미 막국수로 유명한 곳이다. 메밀막국수, 메밀들깨칼국수 등 국수 외에도 메밀로 만든 다양한 음식으로 유명하다. 국수와 잘 어울리는 편육도 별미인데 수육과 비슷한 편육이며 국수와 함께 먹어도 좋고 같이 나오는 새우젓에 찍어먹어도 별미이다. 동절기인 10월부터 3월까지는 두부를 이용한 두부요리가 준비되어 있다. 한성대역 5번 출구 가까이 위치하고 있으며, 주변에 혜화문이 보이는데 한양도성 성곽길이 시작되는 계단이 보인다.",
명문제과,2839149,음식,음식점,카페/전통찻집,http://tong.visitkorea.or.kr/cms/resource/40/2839140_image2_1.jpg,전북특별자치도,127.3824876453,35.4090698759,"명문제과는 백종원의 3대 천왕에 소개되면서 더욱 유명해진 베이커리다. 오랜 세월의 흔적이 묻어 있는 간판에서부터 맛집의 포스가 느껴진다. 웨이팅이 필수일 정도로 이곳을 찾는 단골손님들로 늘 문전성시를 이룬다. 오전 10시, 오후 1시 30분, 4시 30분은 빵 나오는 시간으로 빵 나오는 시간 전에 번호표를 발급해 준다. 생크림슈보르, 꿀아몬드, 수제햄빵 3가지 빵이 이 집을 대표하는 시그니처 메뉴다.",
