title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
올리브영 약수역,2901935,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/83/2889583_image2_1.jpg,서울특별시,127.0102379046,37.5548700606,-,www.oliveyoung.co.kr
올리브영 양산덕계점,3306236,쇼핑,쇼핑,사후면세점,,경상남도,129.1508805556,35.3742972727,-,-
올리브영 양산물금점,3306757,쇼핑,쇼핑,사후면세점,,경상남도,129.003356122,35.3167010002,-,-
올리브영 양재스타클래스,2912601,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2889466_image2_1.jpg,서울특별시,127.0358930949,37.4852341646,-,
올리브영 양재역점,3305821,쇼핑,쇼핑,사후면세점,,서울특별시,127.0344904816,37.4839287352,-,-
올리브영 양주고읍,2925123,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/81/2881281_image2_1.jpg,경기도,127.0803968399,37.7960682657,-,
올리브영 양주덕정점,3307516,쇼핑,쇼핑,사후면세점,,경기도,127.0683689607,37.8377715216,-,-
올리브영 양주옥정점,3305338,쇼핑,쇼핑,사후면세점,,경기도,127.0921478695,37.8194768622,-,-
올리브영 양천향교역,2913813,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/18/2880118_image2_1.jpg,서울특별시,126.8403724537,37.5683182344,-,
올리브영 어린이대공원역점,3305889,쇼핑,쇼핑,사후면세점,,서울특별시,127.0727907499,37.5474942648,-,-
올리브영 언주역,2930621,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/12/2889112_image2_1.jpg,서울특별시,127.035028641,37.5079842855,-,
올리브영 에버랜드,2902058,쇼핑,쇼핑,사후면세점,,경기도,127.2149184795,37.2893100954,-,
올리브영 여의도역,2930954,쇼핑,쇼핑,사후면세점,,서울특별시,126.9260298028,37.5232777777,-,
올리브영 역곡역,2930939,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/14/2889414_image2_1.jpg,경기도,126.8107885772,37.4858967319,-,
올리브영 역곡역남부점,3307648,쇼핑,쇼핑,사후면세점,,경기도,126.8108191759,37.4842274824,-,-
올리브영 역삼역,2911908,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/82/2879982_image2_1.jpg,서울특별시,127.0343178293,37.4996935691,-,
올리브영 연산역점,3305386,쇼핑,쇼핑,사후면세점,,부산광역시,129.0809113278,35.1846228006,-,-
올리브영 연산토곡점,3305628,쇼핑,쇼핑,사후면세점,,부산광역시,129.1073841139,35.181373654,-,-
올리브영 연수구청,2912829,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/70/2882470_image2_1.jpg,인천광역시,126.6767472384,37.4141193622,-,
올리브영 연신내로데오,2913601,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/66/2888766_image2_1.jpg,서울특별시,126.9198193454,37.6184777102,-,
올리브영 연신내범서,2930606,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/83/2889383_image2_1.jpg,서울특별시,126.9220774654,37.6187443871,-,
올리브영 연신내점,3306595,쇼핑,쇼핑,사후면세점,,서울특별시,126.9203942604,37.6196414745,-,-
올리브영 연희,2918306,쇼핑,쇼핑,사후면세점,,서울특별시,126.929594952,37.5655340417,-,
올리브영 염창역,2930705,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/93/2880093_image2_1.jpg,서울특별시,126.8758225814,37.5476212742,-,
올리브영 영종하늘도시점,3306066,쇼핑,쇼핑,사후면세점,,인천광역시,126.5614723404,37.4891780531,-,-
올리브영 오류동역점,3305509,쇼핑,쇼핑,사후면세점,,서울특별시,126.8438686193,37.495743399,-,-
올리브영 오리역점,3306451,쇼핑,쇼핑,사후면세점,,경기도,127.1084128204,37.3401050756,-,-
올리브영 오목교역,2930995,쇼핑,쇼핑,사후면세점,,서울특별시,126.875514933,37.5242795368,-,OLIVEYOUNG.cO.oliveyoung.co.kr
올리브영 온천장역,2912569,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/74/2885474_image2_1.jpg,부산광역시,129.085604356,35.2213298852,-,
