title,contentid,cat1,cat2,cat3,firstimage,region,mapx,mapy,overview,homepage
가나아트센터,129854,인문(문화/예술/역사),문화시설,미술관/화랑,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,서울특별시,126.9751811398,37.6122099878,Unknown,Unknown
가나아트파크,129194,인문(문화/예술/역사),휴양관광지,테마공원,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,경기도,126.9497496852,37.7254519094,"가나아트파크(전, 장흥아트파크)는 1984년 국내 최초 사립미술관인 토탈미술관이 그 전신으로서, 2005년 모회사 가나아트센터에서 인수하여 조각공원을 중심으로 설립되었다. 가나아트파크는 어린이를 비롯하여 전 계층을 아우르는 예술복합공간으로 자리매김 하였다. 가나아트파크는 신진·중견·원로 작가들에게는 보다 나은 창작 공간과 전시 기회를 부여하고, 대중에게는 미술을 비롯한 다양한 예술 장르를 수용함으로써, “인간과 자연 그리고 예술이 공존하는 예술복합공간”을 실현하고자 한다.

(출처 : 가나아트파크 홈페이지)","<a href=""http://www.artpark.co.kr/"" target=""_blank"" title=""새창: 가나아트파크 홈페이지로 이동"">http://www.artpark.co.kr</a>"
가나안국수,2894914,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/91/2894891_image2_1.jpg,경기도,126.8278865647,37.6009169989,"경기도 고양시 덕양구 행주로에 위치한 가나안국수는 내산 사골, 닭고기, 사태, 멸치로 최고의 육수를 내어 건강과 맛을 최고로 하는 국수메뉴를 다양하게 판매하고 있다. 명품 잔치국수, 초계국수, 장칼국수에서 다양한 국수요리를 즐길 수 있는 곳이다. 또, 매일 아침 겉절이 김치를 직접 담가 손님들에게 제공한다. 바지락 칼국수는 5~8월에 판매하지 않으며, 국내산 100%  검정콩을 매일 매장에서 직접 삶고 갈아서 만드는 콩국수는 4~9월까지만 판매한다.","<a href=""http://www.xn--o39a20ar3ebs0asud.kr/"" target=""_blank"" title=""새창 : 가나안국수 홈페이지로 이동"">http://www.가나안국수.kr/</a>"
가나안덕하남점 (가나안 덕(DUCK)),2781914,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/80/2782380_image2_1.jpg,경기도,127.1825676193,37.5211965213,Unknown,Unknown
가나안약국,2899721,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/58/2887858_image2_1.jpg,서울특별시,127.0208657845,37.5170635319,-,
가나안장어마을,2831563,음식,음식점,한식,http://tong.visitkorea.or.kr/cms/resource/54/2831554_image2_1.JPG,경기도,126.7921100429,37.6721941761,"가나안장어마을은 고양시 일산동구 풍동 애니골에 자리 잡고 있다. 가나안장어마을은 애니골 먹자골목 안 터줏대감 가나안덕 외식타운에 포함되어 있다. 가나안 외식타운에는 가나안덕 신관과 본관, 가나안장어마을, 버섯칼국수, 카페 등을 운영하고 있다, 가나안덕 외식타운이란 이름답게 넓은 주차 공간이 마련되어 있다. 식사 후 즐길 거리가 준비되어 있어 가족, 단체 등이 많이 찾고 있다. 국내산 민물장어로 두툼한 장어를 주문과 동시에 손질해서 제공되며 맛있게 굽는 방법을 보면서 구워 먹으면 된다. 장어구이 손님들에게는 마지막에 뚝배기 장어죽이 제공된다. 주변에 가볼 만한 곳은 일산호수공원과 고봉산 등이 있다.",
가남지,250577,음식,음식점,이색음식점,http://tong.visitkorea.or.kr/cms/resource/78/3032478_image2_1.JPG,대전광역시,127.3788898499,36.3853504089,Unknown,Unknown
가남체육공원,2777865,인문(문화/예술/역사),휴양관광지,공원,http://tong.visitkorea.or.kr/cms/resource/71/2777971_image2_1.jpg,경기도,127.5349142281,37.2017093544,"가남체육공원은 가남면 태평리에 위치한 주민들을 위한 다목적 체육활동 공원이다. 2003년 설립되어 2010년 확장 준공을 마쳤으며 태극기공원과 운동장으로 이루어져있 다. 족구장, 테니스장, 국궁장을 보유하고 있으며 약 500석의 관람석과 1,200명의 수용이 가능한 인조잔디 축구장이 있다. 또한, 봄이면 공원에 피는 벚꽃들로 인한 절경을 감상할 수 있다.",
가네시 롯데본점,2928947,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/11/2889211_image2_1.jpg,서울특별시,126.9817485525,37.5647822864,-,
가넷옴므,3306525,쇼핑,쇼핑,사후면세점,http://tong.visitkorea.or.kr/cms/resource/47/3314547_image2_1.jpg,서울특별시,126.8872262708,37.4782600918,Unknown,Unknown
